

  1%|▊                                                                                  | 1/100 [00:02<04:03,  2.46s/it, loss_test=35.928]
 23%|██████████████████▊                                                               | 23/100 [00:49<02:45,  2.15s/it, loss_test=12.330]

 24%|███████████████████▋                                                              | 24/100 [00:51<02:42,  2.13s/it, loss_test=12.289]

 25%|████████████████████▌                                                             | 25/100 [00:53<02:39,  2.12s/it, loss_test=12.291]

 26%|█████████████████████▎                                                            | 26/100 [00:55<02:36,  2.12s/it, loss_test=12.259]

 27%|██████████████████████▏                                                           | 27/100 [00:57<02:34,  2.11s/it, loss_test=12.266]

 28%|██████████████████████▉                                                           | 28/100 [00:59<02:33,  2.13s/it, loss_test=12.249]

 29%|███████████████████████▊                                                          | 29/100 [01:01<02:30,  2.12s/it, loss_test=12.255]

 30%|████████████████████████▌                                                         | 30/100 [01:04<02:28,  2.11s/it, loss_test=12.241]

 31%|█████████████████████████▍                                                        | 31/100 [01:06<02:25,  2.11s/it, loss_test=12.229]

 32%|██████████████████████████▏                                                       | 32/100 [01:08<02:23,  2.10s/it, loss_test=12.248]
Epoch: 31, Training Loss: 43.6901, Test Loss: 12.2484

 33%|███████████████████████████                                                       | 33/100 [01:10<02:22,  2.13s/it, loss_test=12.276]


 35%|████████████████████████████▋                                                     | 35/100 [01:14<02:17,  2.11s/it, loss_test=12.255]

 36%|█████████████████████████████▌                                                    | 36/100 [01:16<02:15,  2.11s/it, loss_test=12.201]

 37%|██████████████████████████████▎                                                   | 37/100 [01:18<02:12,  2.11s/it, loss_test=12.197]

 38%|███████████████████████████████▏                                                  | 38/100 [01:21<02:12,  2.14s/it, loss_test=12.222]

 39%|███████████████████████████████▉                                                  | 39/100 [01:23<02:09,  2.13s/it, loss_test=12.258]

 40%|████████████████████████████████▊                                                 | 40/100 [01:25<02:07,  2.12s/it, loss_test=12.250]

 41%|█████████████████████████████████▌                                                | 41/100 [01:27<02:04,  2.12s/it, loss_test=12.237]

 42%|██████████████████████████████████▍                                               | 42/100 [01:29<02:02,  2.12s/it, loss_test=12.184]

 43%|███████████████████████████████████▎                                              | 43/100 [01:31<02:01,  2.14s/it, loss_test=12.232]

 44%|████████████████████████████████████                                              | 44/100 [01:33<01:59,  2.13s/it, loss_test=12.217]

 45%|████████████████████████████████████▉                                             | 45/100 [01:35<01:56,  2.12s/it, loss_test=12.240]

 46%|█████████████████████████████████████▋                                            | 46/100 [01:37<01:54,  2.12s/it, loss_test=12.190]

 47%|██████████████████████████████████████▌                                           | 47/100 [01:40<01:51,  2.11s/it, loss_test=12.298]

 48%|███████████████████████████████████████▎                                          | 48/100 [01:42<01:51,  2.14s/it, loss_test=12.227]

 49%|████████████████████████████████████████▏                                         | 49/100 [01:44<01:48,  2.13s/it, loss_test=12.176]
Epoch: 48, Training Loss: 43.3657, Test Loss: 12.1765

 50%|█████████████████████████████████████████                                         | 50/100 [01:46<01:46,  2.12s/it, loss_test=12.204]


 52%|██████████████████████████████████████████▋                                       | 52/100 [01:50<01:41,  2.11s/it, loss_test=12.197]

 53%|███████████████████████████████████████████▍                                      | 53/100 [01:52<01:40,  2.13s/it, loss_test=12.157]

 54%|████████████████████████████████████████████▎                                     | 54/100 [01:54<01:37,  2.13s/it, loss_test=12.200]

 55%|█████████████████████████████████████████████                                     | 55/100 [01:57<01:35,  2.12s/it, loss_test=12.195]

 56%|█████████████████████████████████████████████▉                                    | 56/100 [01:59<01:32,  2.11s/it, loss_test=12.212]

 57%|██████████████████████████████████████████████▋                                   | 57/100 [02:01<01:32,  2.14s/it, loss_test=12.166]

 58%|███████████████████████████████████████████████▌                                  | 58/100 [02:03<01:29,  2.13s/it, loss_test=12.280]

 59%|████████████████████████████████████████████████▍                                 | 59/100 [02:05<01:26,  2.12s/it, loss_test=12.153]

 60%|█████████████████████████████████████████████████▏                                | 60/100 [02:07<01:24,  2.11s/it, loss_test=12.171]

 61%|██████████████████████████████████████████████████                                | 61/100 [02:09<01:22,  2.11s/it, loss_test=12.181]

 62%|██████████████████████████████████████████████████▊                               | 62/100 [02:11<01:20,  2.13s/it, loss_test=12.165]

 63%|███████████████████████████████████████████████████▋                              | 63/100 [02:14<01:18,  2.12s/it, loss_test=12.180]

 64%|████████████████████████████████████████████████████▍                             | 64/100 [02:16<01:16,  2.11s/it, loss_test=12.154]

 65%|█████████████████████████████████████████████████████▎                            | 65/100 [02:18<01:13,  2.11s/it, loss_test=12.215]

 66%|██████████████████████████████████████████████████████                            | 66/100 [02:20<01:11,  2.10s/it, loss_test=12.220]
Epoch: 65, Training Loss: 43.1759, Test Loss: 12.2201

 67%|██████████████████████████████████████████████████████▉                           | 67/100 [02:22<01:10,  2.13s/it, loss_test=12.172]


 69%|████████████████████████████████████████████████████████▌                         | 69/100 [02:26<01:05,  2.11s/it, loss_test=12.164]

 70%|█████████████████████████████████████████████████████████▍                        | 70/100 [02:28<01:03,  2.11s/it, loss_test=12.182]

 71%|██████████████████████████████████████████████████████████▏                       | 71/100 [02:30<01:01,  2.11s/it, loss_test=12.180]

 72%|███████████████████████████████████████████████████████████                       | 72/100 [02:33<00:59,  2.13s/it, loss_test=12.168]

 73%|███████████████████████████████████████████████████████████▊                      | 73/100 [02:35<00:57,  2.12s/it, loss_test=12.166]

 74%|████████████████████████████████████████████████████████████▋                     | 74/100 [02:37<00:54,  2.11s/it, loss_test=12.175]

 75%|█████████████████████████████████████████████████████████████▌                    | 75/100 [02:39<00:52,  2.11s/it, loss_test=12.227]

 76%|██████████████████████████████████████████████████████████████▎                   | 76/100 [02:41<00:50,  2.10s/it, loss_test=12.195]

 77%|███████████████████████████████████████████████████████████████▏                  | 77/100 [02:43<00:48,  2.13s/it, loss_test=12.162]

 78%|███████████████████████████████████████████████████████████████▉                  | 78/100 [02:45<00:46,  2.12s/it, loss_test=12.146]

 79%|████████████████████████████████████████████████████████████████▊                 | 79/100 [02:47<00:44,  2.11s/it, loss_test=12.179]

 80%|█████████████████████████████████████████████████████████████████▌                | 80/100 [02:49<00:42,  2.10s/it, loss_test=12.140]

 81%|██████████████████████████████████████████████████████████████████▍               | 81/100 [02:52<00:39,  2.10s/it, loss_test=12.207]

 82%|███████████████████████████████████████████████████████████████████▏              | 82/100 [02:54<00:38,  2.13s/it, loss_test=12.134]

 83%|████████████████████████████████████████████████████████████████████              | 83/100 [02:56<00:36,  2.12s/it, loss_test=12.141]

 84%|████████████████████████████████████████████████████████████████████▉             | 84/100 [02:58<00:33,  2.12s/it, loss_test=12.173]
Epoch: 83, Training Loss: 43.0082, Test Loss: 12.1731

 85%|█████████████████████████████████████████████████████████████████████▋            | 85/100 [03:00<00:31,  2.11s/it, loss_test=12.150]


 87%|███████████████████████████████████████████████████████████████████████▎          | 87/100 [03:04<00:27,  2.13s/it, loss_test=12.144]

 88%|████████████████████████████████████████████████████████████████████████▏         | 88/100 [03:06<00:25,  2.12s/it, loss_test=12.201]

 89%|████████████████████████████████████████████████████████████████████████▉         | 89/100 [03:08<00:23,  2.11s/it, loss_test=12.163]

 90%|█████████████████████████████████████████████████████████████████████████▊        | 90/100 [03:11<00:21,  2.11s/it, loss_test=12.137]

 91%|██████████████████████████████████████████████████████████████████████████▌       | 91/100 [03:13<00:18,  2.10s/it, loss_test=12.182]

 92%|███████████████████████████████████████████████████████████████████████████▍      | 92/100 [03:15<00:17,  2.13s/it, loss_test=12.167]

 93%|████████████████████████████████████████████████████████████████████████████▎     | 93/100 [03:17<00:14,  2.12s/it, loss_test=12.165]

 94%|█████████████████████████████████████████████████████████████████████████████     | 94/100 [03:19<00:12,  2.11s/it, loss_test=12.188]

 95%|█████████████████████████████████████████████████████████████████████████████▉    | 95/100 [03:21<00:10,  2.11s/it, loss_test=12.142]

 96%|██████████████████████████████████████████████████████████████████████████████▋   | 96/100 [03:23<00:08,  2.11s/it, loss_test=12.142]

 97%|███████████████████████████████████████████████████████████████████████████████▌  | 97/100 [03:25<00:06,  2.13s/it, loss_test=12.136]

 97%|███████████████████████████████████████████████████████████████████████████████▌  | 97/100 [03:28<00:06,  2.13s/it, loss_test=12.150]


 98%|████████████████████████████████████████████████████████████████████████████████▎ | 98/100 [03:31<00:05,  2.56s/it, loss_test=12.154]

100%|█████████████████████████████████████████████████████████████████████████████████| 100/100 [03:35<00:00,  2.15s/it, loss_test=12.149]
Traceback (most recent call last):
  File "lstm_training.py", line 152, in <module>
    torch.save({'hyperparameters': config,
  File "/mnt/qb/work/goswami/gkd235/path/to/conda/envs/felix_c/lib/python3.8/site-packages/torch/serialization.py", line 440, in save
    with _open_zipfile_writer(f) as opened_zipfile:
  File "/mnt/qb/work/goswami/gkd235/path/to/conda/envs/felix_c/lib/python3.8/site-packages/torch/serialization.py", line 315, in _open_zipfile_writer
    return container(name_or_buffer)
  File "/mnt/qb/work/goswami/gkd235/path/to/conda/envs/felix_c/lib/python3.8/site-packages/torch/serialization.py", line 288, in __init__
    super().__init__(torch._C.PyTorchFileWriter(str(name)))
RuntimeError: Parent directory final_models does not exist.
Epoch: 99, Training Loss: 42.9066, Test Loss: 12.1494
